"AMD","AMZN","NKE","VALE","NOK","AAL","CCL","TGT","DQ","BAC","IWN","AMD*","AMZN*","NKE*","VALE*","NOK*","AAL*","CCL*","TGT*","DQ*","BAC*"
27.41,1859.680054,81.150536,9.318309,5.079776,29.609373,50.384335,73.663521,7.71,26.752195,113.434372,751.3081,3458409.90324544,6585.4094930873,86.830882619481,25.804124210176,876.714969453129,2538.58121339222,5426.31432611744,59.4441,715.679937318025
26.360001,1815.47998,80.604317,9.350031,4.921342,29.193733,49.891415,75.411087,7.288,26.066721,111.317932,694.849652720001,3295967.5577808,6497.05591903649,87.423079700961,24.219607080964,852.274046475289,2489.15329070223,5686.83204252157,53.114944,679.473943691841
26.440001,1823.280029,80.136139,9.532432,5.069874,28.867159,49.881752,77.472054,7.312,26.461105,112.162598,699.073652880001,3324350.06415024,6421.80077382732,90.867259834624,25.703622375876,833.312868731281,2488.1891825895,6001.91915097892,53.465344,700.190077821025
29.049999,1836.430054,79.199791,9.833788,4.960951,28.431726,49.533802,76.712257,7.314,26.198177,111.052177,843.902441900001,3372475.34323444,6272.60689444368,96.703386428944,24.611034824401,808.363043339076,2453.5975405752,5884.77037403405,53.494596,686.344478123329
28.09,1819.189941,76.927193,9.881372,4.990657,28.115051,49.872086,75.63903,7.19,26.057327,110.378334,789.0481,3309452.04143558,5917.79302285925,97.641512602384,24.906657291649,790.456092732601,2487.2249619914,5721.2628593409,51.6961,678.984290384929
28.030001,1816.319946,77.307579,9.936885,5.040168,27.877541,49.823757,76.351349,7.552,25.503317,109.704468,785.680956060001,3299018.14623744,5976.46177084124,98.741683503225,25.403293468224,777.157292206681,2482.40676159505,5829.5284941198,57.032704,650.419178002489
27.41,1775.069946,75.449226,9.889301,5.00056,26.9473,49.475807,76.408325,7.6,24.977478,108.328308,751.3081,3150873.31319244,5692.58570399908,97.798274268601,25.0056003136,726.15697729,2447.85547830125,5838.23212930563,57.76,623.874407240484
27.58,1692.689941,76.251251,9.897233,4.941147,26.917614,49.408157,78.782745,8.614,25.052597,109.191963,760.6564,2865199.23636258,5814.253279065,97.955221056289,24.414933675609,724.557943452996,2441.16597813665,6206.72090973503,74.200996,627.632616444409
29.57,1729.560059,79.831032,10.02412,4.980756,28.81768,50.529312,81.537056,8.428,26.216963,111.697563,874.3849,2991377.99768808,6372.99367018502,100.4829817744,24.807930331536,830.4586805824,2553.21137119334,6648.29150114714,71.031184,687.329148943369
29.5,1738.5,80.906921,9.841721,5.00056,30.044806,49.18586,81.195145,8.376,26.207573,111.336906,870.25,3022382.25,6545.92986570024,96.859472241841,25.0056003136,902.690367577636,2419.2488239396,6592.65157157102,70.157376,686.836882550329
