"AMD.Adjusted","AMZN.Adjusted","NKE.Adjusted","VALE.Adjusted","NOK.Adjusted","AAL.Adjusted","CCL.Adjusted","TGT.Adjusted","DQ.Adjusted","BAC.Adjusted","IWS.Adjusted","IWN.Adjusted"
33.029999,1762.709961,87.548721,9.627597,3.55,30.706621,43.150764,103.505768,7.918,30.476095,86.739952,118.645576
33.130001,1779.98999,88.441078,9.619668,3.65,30.080971,42.222477,103.295219,7.354,30.048462,86.72084,117.984352
33.93,1776.660034,87.813492,9.310378,3.65,29.852556,41.909786,102.319023,7.592,29.715857,86.223763,117.28479
34.889999,1791.439941,87.450668,9.627597,3.66,30.349106,41.968418,103.189926,7.726,30.219513,87.323067,119.201378
36.290001,1804.660034,88.117477,9.778275,3.61,30.736416,43.199619,104.099144,7.496,30.789692,87.867943,120.370491
36.150002,1801.709961,88.137077,9.817928,3.54,31.065199,43.834766,105.333733,7.514,31.18882,87.867943,120.475891
35.93,1795.77002,87.744843,9.651387,3.59,30.846008,43.355965,105.764427,7.472,31.160311,87.686317,119.776337
36.279999,1788.199951,88.647011,9.68311,3.57,30.776266,44.020424,105.840988,7.274,31.578438,87.772354,120.11174
36.290001,1785.880005,88.068443,9.334169,3.57,30.646746,44.020424,105.419876,7.338,31.606949,87.925308,120.19799
36.310001,1771.650024,88.303795,9.207282,3.53,30.477371,43.658878,105.707001,7.374,31.530928,87.695869,119.785934
36.709999,1778,87.764458,9.120046,3.51,29.41131,43.463451,103.697182,8.118,31.445402,87.60984,119.699692
37.52,1753.109985,89.51976,8.897993,3.47,28.554476,43.053047,103.917305,7.636,31.160311,87.600288,118.942642
38.349998,1754.599976,89.50013,8.882132,3.37,28.664072,43.424362,106.338646,7.808,31.074783,87.762779,119.009712
38.560001,1739.48999,91.235817,9.088325,3.45,28.75374,43.824993,108.348473,7.828,31.293352,88.240753,119.268448
39.880001,1752.530029,92.353706,8.961438,3.45,28.494698,43.678421,107.152145,7.774,31.321863,88.097366,118.798897
41.290001,1752.790039,91.794769,9.088325,3.43,29.182158,43.473225,106.718918,7.766,31.302856,88.106911,118.923477
